Year Range,Polygon Name,Longitude,Latitude
2006-2010,Untitled Polygon,-80.07586007739776,44.46822890953943
2006-2010,Untitled Polygon,-80.07551258453286,44.46642068706613
2006-2010,Untitled Polygon,-80.07362488229458,44.46668591314793
2006-2010,Untitled Polygon,-80.07415108443233,44.4684565713361
2006-2010,Untitled Polygon,-80.07586007739776,44.46822890953943
2006-2010,Untitled Polygon,-80.09372575305392,44.4731275546831
2006-2010,Untitled Polygon,-80.09275713956184,44.47185072910229
2006-2010,Untitled Polygon,-80.08126058835916,44.47648069376778
2006-2010,Untitled Polygon,-80.07815840330012,44.47797721904038
2006-2010,Untitled Polygon,-80.07920273440739,44.47908301273721
2006-2010,Untitled Polygon,-80.08202726159955,44.47777529463752
2006-2010,Untitled Polygon,-80.09006394526386,44.47451029008981
2006-2010,Untitled Polygon,-80.09372575305392,44.4731275546831
2006-2010,Untitled Polygon,-80.08326650329911,44.46533602700084
2006-2010,Untitled Polygon,-80.08257972086282,44.4640237918693
2006-2010,Untitled Polygon,-80.07765304431234,44.46607438763615
2006-2010,Untitled Polygon,-80.07812620156899,44.46750942510788
2006-2010,Untitled Polygon,-80.08326650329911,44.46533602700084
2001-2005,Untitled Polygon,-80.07391981416583,44.47618899139905
2001-2005,Untitled Polygon,-80.07198977229677,44.46913438551818
2001-2005,Untitled Polygon,-80.0663729918383,44.47038385480273
2001-2005,Untitled Polygon,-80.06377287037327,44.47084518941077
2001-2005,Untitled Polygon,-80.06039717324184,44.47159527912844
2001-2005,Untitled Polygon,-80.06284997149326,44.47427462222329
2001-2005,Untitled Polygon,-80.06470806759322,44.47627999459402
2001-2005,Untitled Polygon,-80.06657657227316,44.47840616269077
2001-2005,Untitled Polygon,-80.0675744534553,44.47950802265913
2001-2005,Untitled Polygon,-80.07391981416583,44.47618899139905
2001-2005,Untitled Polygon,-80.09002130213116,44.46672226330267
2001-2005,Untitled Polygon,-80.08732955642215,44.46778460976491
2001-2005,Untitled Polygon,-80.08464848458604,44.46840800157868
2001-2005,Untitled Polygon,-80.08473232171073,44.468793976577
2001-2005,Untitled Polygon,-80.08438737899121,44.46902423325504
2001-2005,Untitled Polygon,-80.08386940157384,44.46913027355839
2001-2005,Untitled Polygon,-80.08367819995304,44.46857621849416
2001-2005,Untitled Polygon,-80.08148048695966,44.46917085512727
2001-2005,Untitled Polygon,-80.07796868209988,44.46998989550616
2001-2005,Untitled Polygon,-80.07604432072922,44.47041480572288
2001-2005,Untitled Polygon,-80.0761490496037,44.47132172958003
2001-2005,Untitled Polygon,-80.07696612378494,44.47364027733692
2001-2005,Untitled Polygon,-80.07842182390253,44.47349377269811
2001-2005,Untitled Polygon,-80.07879213141676,44.47338558666817
2001-2005,Untitled Polygon,-80.07957463299584,44.47315150614867
2001-2005,Untitled Polygon,-80.07898595949307,44.47090483747246
2001-2005,Untitled Polygon,-80.08000408479803,44.47069390143692
2001-2005,Untitled Polygon,-80.08027944703827,44.47167387514131
2001-2005,Untitled Polygon,-80.08070433829083,44.47294135125196
2001-2005,Untitled Polygon,-80.08185400206189,44.47270936819043
2001-2005,Untitled Polygon,-80.08359944187475,44.47230497079351
2001-2005,Untitled Polygon,-80.08402697439557,44.47216965695728
2001-2005,Untitled Polygon,-80.08414845341208,44.47196731568452
2001-2005,Untitled Polygon,-80.0852919303414,44.47172626796424
2001-2005,Untitled Polygon,-80.08629824305584,44.47152720971495
2001-2005,Untitled Polygon,-80.08791010134634,44.47116678606169
2001-2005,Untitled Polygon,-80.09040319890678,44.47060601622334
2001-2005,Untitled Polygon,-80.09102318434145,44.47041188350067
2001-2005,Untitled Polygon,-80.09034789621363,44.47062269705071
2001-2005,Untitled Polygon,-80.0916765439564,44.47029183133743
2001-2005,Untitled Polygon,-80.09228676415144,44.47006884448427
2001-2005,Untitled Polygon,-80.09002130213116,44.46672226330267
2001-2005,Untitled Polygon,-80.07487624209456,44.46455645693273
2001-2005,Untitled Polygon,-80.07543855016533,44.46645083537953
2001-2005,Untitled Polygon,-80.07584632329288,44.46823063678176
2001-2005,Untitled Polygon,-80.07813298635092,44.46751224656447
2001-2005,Untitled Polygon,-80.0776513659757,44.46608642789771
2001-2005,Untitled Polygon,-80.08260540062376,44.4640220942738
2001-2005,Untitled Polygon,-80.08319777184295,44.46527378612801
2001-2005,Untitled Polygon,-80.08672024039669,44.46380893147155
2001-2005,Untitled Polygon,-80.08540430985906,44.46241698868484
2001-2005,Untitled Polygon,-80.08356648792794,44.46044505584329
2001-2005,Untitled Polygon,-80.07487624209456,44.46455645693273
2001-2005,Untitled Polygon,-80.07365358004546,44.46671958061813
2001-2005,Untitled Polygon,-80.07336616279568,44.46563671221314
2001-2005,Untitled Polygon,-80.07327469681495,44.46531041586491
2001-2005,Untitled Polygon,-80.06767644478549,44.46793036741121
2001-2005,Untitled Polygon,-80.0601481399201,44.47134988821091
2001-2005,Untitled Polygon,-80.06039565235808,44.47160048638747
2001-2005,Untitled Polygon,-80.06864879689773,44.469866333871
2001-2005,Untitled Polygon,-80.07419523003452,44.46873057190052
2001-2005,Untitled Polygon,-80.07365358004546,44.46671958061813
1996-2000,Untitled Polygon,-80.08403850576786,44.47270115362442
1996-2000,Untitled Polygon,-80.08301856391512,44.47295077577954
1996-2000,Untitled Polygon,-80.08244276961062,44.47309743369701
1996-2000,Untitled Polygon,-80.0819130575888,44.47320897836428
1996-2000,Untitled Polygon,-80.08130386434264,44.47334800179007
1996-2000,Untitled Polygon,-80.08016150226305,44.47363503235169
1996-2000,Untitled Polygon,-80.07898953070159,44.47393510614346
1996-2000,Untitled Polygon,-80.07789946196885,44.47419108655784
1996-2000,Untitled Polygon,-80.07725621761936,44.47433677345513
1996-2000,Untitled Polygon,-80.07809837655859,44.47796904790189
1996-2000,Untitled Polygon,-80.07761506651254,44.47818697855402
1996-2000,Untitled Polygon,-80.07796222407342,44.47978953051476
1996-2000,Untitled Polygon,-80.0798520414656,44.47874336751914
1996-2000,Untitled Polygon,-80.07881185615875,44.47760738147515
1996-2000,Untitled Polygon,-80.08465509326814,44.4750906715952
1996-2000,Untitled Polygon,-80.08453510675591,44.47446538886007
1996-2000,Untitled Polygon,-80.08403850576786,44.47270115362442
1996-2000,Untitled Polygon,-80.07691844689562,44.47919936420527
1996-2000,Untitled Polygon,-80.07595649296674,44.47528705513746
1996-2000,Untitled Polygon,-80.07355538332166,44.47652096953178
1996-2000,Untitled Polygon,-80.07396704851261,44.47829512755109
1996-2000,Untitled Polygon,-80.07462375754037,44.48031432687377
1996-2000,Untitled Polygon,-80.07691844689562,44.47919936420527
1996-2000,Untitled Polygon,-80.07037407840649,44.48235228788536
1996-2000,Untitled Polygon,-80.07075838503872,44.48206585227828
1996-2000,Untitled Polygon,-80.06970562254018,44.47846255949334
1996-2000,Untitled Polygon,-80.06764093203819,44.479590723063
1996-2000,Untitled Polygon,-80.07037407840649,44.48235228788536
1996-2000,Untitled Polygon,-80.09228401331197,44.47048868001605
1996-2000,Untitled Polygon,-80.0916133490163,44.47082505493563
1996-2000,Untitled Polygon,-80.09176957531925,44.47138591653302
1996-2000,Untitled Polygon,-80.09196103149705,44.47214690932172
1996-2000,Untitled Polygon,-80.09227839541208,44.47204442118041
1996-2000,Untitled Polygon,-80.09273990094141,44.47187887098303
1996-2000,Untitled Polygon,-80.0935652950013,44.47316618610076
1996-2000,Untitled Polygon,-80.09475922635774,44.47264503294976
1996-2000,Untitled Polygon,-80.09265940213365,44.47036701704823
1996-2000,Untitled Polygon,-80.09228401331197,44.47048868001605
2011-2015,Untitled Polygon,-80.08456895877413,44.46796204757844
2011-2015,Untitled Polygon,-80.08363511311572,44.46814492562817
2011-2015,Untitled Polygon,-80.08388947344989,44.46912844500715
2011-2015,Untitled Polygon,-80.08438170831138,44.46903298594422
2011-2015,Untitled Polygon,-80.08473196888549,44.4687671801755
2011-2015,Untitled Polygon,-80.08456895877413,44.46796204757844
2011-2015,Untitled Polygon,-80.07488730494181,44.46451841025498
2011-2015,Untitled Polygon,-80.07328336466371,44.46530199545857
2011-2015,Untitled Polygon,-80.07368590972227,44.46668532873691
2011-2015,Untitled Polygon,-80.07543892305605,44.4664361702341
2011-2015,Untitled Polygon,-80.07512234122404,44.46541067371765
2011-2015,Untitled Polygon,-80.07488730494181,44.46451841025498
