Name,UTM Easting,UTM Northing,Year
Untitled Placemark,572149.2053304325,4924781.930550895,1978
Untitled Placemark,572247.0922363288,4924821.243736504,1978
Untitled Placemark,572200.5620345173,4924800.475808564,1978
Untitled Placemark,572164.9304188166,4924788.286626361,1978
Untitled Placemark,572131.0843047297,4924773.860013462,1978
Untitled Placemark,572103.0252822072,4924758.047212034,1978
Untitled Placemark,572364.9671080142,4924878.2965777805,1978
Untitled Placemark,572425.4493924681,4924910.256453841,1978
Untitled Placemark,572465.1893065877,4924925.843788822,1978
Untitled Placemark,572333.4579670522,4924857.938258759,1978
Untitled Placemark,572388.2480562401,4924888.517616784,1978
Untitled Placemark,572310.3010637757,4924845.165344133,1978
Untitled Placemark,572433.9552903982,4924861.540651647,1978
Untitled Placemark,572748.2903917198,4925038.095471382,1978
Untitled Placemark,572663.9918363214,4924989.074371799,1978
Untitled Placemark,572706.7245102791,4925005.929285652,1978
Untitled Placemark,572672.4997592224,4925037.291702105,1978
Untitled Placemark,572704.9576933379,4925049.66366918,1978
Untitled Placemark,573478.5855255254,4925276.5178507455,1978
Untitled Placemark,573477.0433410034,4925243.835836238,1978
Untitled Placemark,573489.4219552722,4925203.458845226,1978
Untitled Placemark,573601.5363314396,4925200.339158627,1978
Untitled Placemark,573554.1128252759,4925408.359762211,1978
Untitled Placemark,573618.3879833885,4925359.00940064,1978
Untitled Placemark,573586.1225858466,4925255.155174411,1978
Untitled Placemark,573543.3282791054,4925140.389061068,1978
Untitled Placemark,573484.3697387122,4925261.559154719,1978
Untitled Placemark,573619.0496819288,4925343.474772248,1978
Untitled Placemark,573638.2397328382,4925223.542002959,1978
Untitled Placemark,573593.3964185264,4925228.409893369,1978
Untitled Placemark,573615.9347006495,4925380.662615666,1978
Untitled Placemark,573384.8215093421,4925178.479482958,1978
Untitled Placemark,573381.0273400639,4925155.87768554,1978
Untitled Placemark,573328.1267163615,4925144.778803622,1978
Untitled Placemark,573334.4862584133,4925116.014369429,1978
Untitled Placemark,573317.7035093758,4925157.13639549,1978
Untitled Placemark,573296.6028279758,4925066.004414869,1978
Untitled Placemark,573307.4502553545,4924949.625133886,1978
Untitled Placemark,573233.5237023012,4925109.892692364,1978
Untitled Placemark,573232.5401989765,4925129.644098112,1978
Untitled Placemark,573223.9829071722,4925161.874298023,1978
Untitled Placemark,573217.6465293972,4925194.968564215,1978
Untitled Placemark,573299.1692362638,4925257.0674841525,1978
Untitled Placemark,573140.5080234911,4925222.388593127,1978
Untitled Placemark,573347.4274353406,4925353.008693567,1978
Untitled Placemark,573122.320608899,4924980.774954725,1978
Untitled Placemark,573500.739369568,4925608.544168888,1978
Untitled Placemark,573473.5940660881,4925599.996013217,1978
Untitled Placemark,573422.8635840411,4925553.220886591,1978
Untitled Placemark,572262.9213322897,4924614.76808797,1978
Untitled Placemark,572191.9550843921,4924550.092032281,1978
Untitled Placemark,572202.2164790672,4924654.5544122085,1978
Untitled Placemark,573450.2631831493,4924083.578851145,1978
Untitled Placemark,573459.1037585316,4924036.397173239,1978
Untitled Placemark,573468.8259938498,4924005.141639562,1978
Untitled Placemark,573485.5556041923,4923943.118267937,1978
Untitled Placemark,573495.7657526954,4923909.7228673315,1978
Untitled Placemark,573445.8311330439,4923907.033122514,1978
